method,k,seed,groups,silhouette,davies_bouldin,calinski_harabasz,smallest_cluster,largest_cluster,smallest_pct,sizes,inertia,iterations,aic,bic,converged,mean_confidence,low_confidence_count,low_confidence_pct,min_covariance_eigenvalue
GMM,3,7,3,0.210607207793,1.39631635274,1759.58540929,993,1366,29.5359904819,"{""0"": 993, ""1"": 1366, ""2"": 1003}",,9,6139.12928416,6316.61773226,True,0.921557395451,487,14.4854253421,9.99999999973e-07
GMM,3,21,3,0.21048515895,1.39610487192,1758.07191058,992,1366,29.506246282,"{""0"": 1366, ""1"": 1004, ""2"": 992}",,9,6139.14626,6316.6347081,True,0.921556905851,486,14.4556811422,9.99999999973e-07
GMM,3,99,3,0.210607207793,1.39631635274,1759.58540929,993,1366,29.5359904819,"{""0"": 1366, ""1"": 1003, ""2"": 993}",,9,6139.12928416,6316.61773226,True,0.921557395451,487,14.4854253421,9.99999999973e-07
GMM,3,123,3,0.21048515895,1.39610487192,1758.07191058,992,1366,29.506246282,"{""0"": 1004, ""1"": 1366, ""2"": 992}",,9,6139.14626,6316.6347081,True,0.921556905851,486,14.4556811422,9.99999999973e-07
GMM,4,42,4,0.134704840039,1.68261675667,1389.06208495,570,1366,16.9541939322,"{""0"": 758, ""1"": 668, ""2"": 1366, ""3"": 570}",,14,-1003.25565427,-764.564293026,True,0.945981829873,297,8.83402736466,9.99999999973e-07
GMM,4,7,4,0.134885308919,1.68147377376,1392.9143704,567,1366,16.8649613325,"{""0"": 761, ""1"": 567, ""2"": 668, ""3"": 1366}",,14,-1003.08802034,-764.396659093,True,0.945639389422,299,8.89351576443,9.99999999973e-07
GMM,4,21,4,0.134704840039,1.68261675667,1389.06208495,570,1366,16.9541939322,"{""0"": 668, ""1"": 758, ""2"": 570, ""3"": 1366}",,14,-1003.25565427,-764.564293026,True,0.945981829873,297,8.83402736466,9.99999999973e-07
GMM,4,99,4,0.134704840039,1.68261675667,1389.06208495,570,1366,16.9541939322,"{""0"": 1366, ""1"": 570, ""2"": 758, ""3"": 668}",,14,-1003.25565427,-764.564293026,True,0.945981829873,297,8.83402736466,9.99999999973e-07
GMM,4,123,4,0.134755403155,1.68174822391,1393.00305088,568,1366,16.8947055324,"{""0"": 1366, ""1"": 568, ""2"": 668, ""3"": 760}",,14,-1003.13843968,-764.447078437,True,0.945654648343,299,8.89351576443,9.99999999973e-07
GMM,5,42,5,0.0973493355221,2.00519147504,1181.84936684,396,1366,11.7787031529,"{""0"": 668, ""1"": 524, ""2"": 408, ""3"": 396, ""4"": 1366}",,27,-5132.6963574,-4832.80208302,True,0.959934913558,231,6.87091017252,9.99999999973e-07
GMM,5,7,5,0.100806629059,2.00639383995,1179.02371844,335,1366,9.96430696014,"{""0"": 1366, ""1"": 335, ""2"": 668, ""3"": 408, ""4"": 585}",,19,-5135.0264337,-4835.13215932,True,0.9610614242,206,6.12730517549,9.99999999973e-07
GMM,5,21,5,0.0973493355221,2.00519147504,1181.84936684,396,1366,11.7787031529,"{""0"": 408, ""1"": 396, ""2"": 1366, ""3"": 524, ""4"": 668}",,27,-5132.70524737,-4832.81097299,True,0.959931055848,231,6.87091017252,9.99999999973e-07
GMM,5,99,5,0.0886550727223,2.20292682512,1153.05659667,384,1366,11.4217727543,"{""0"": 384, ""1"": 432, ""2"": 668, ""3"": 1366, ""4"": 512}",,14,-1315.94347943,-1016.04920505,True,0.914148931043,473,14.0690065437,9.99999999973e-07
GMM,5,123,5,0.100494052557,2.00665439672,1180.48686578,342,1366,10.1725163593,"{""0"": 1366, ""1"": 342, ""2"": 578, ""3"": 408, ""4"": 668}",,18,-5135.30442848,-4835.41015409,True,0.960769414952,219,6.51397977394,9.99999999973e-07
GMM,6,42,6,0.102115224974,1.89516123895,1026.94453136,181,1366,5.38370017847,"{""0"": 447, ""1"": 1366, ""2"": 408, ""3"": 668, ""4"": 181, ""5"": 292}",,23,-5341.83346231,-4980.73627478,True,0.945069451091,288,8.56632956573,9.99999999973e-07
GMM,6,7,6,0.102042533277,1.89646311106,1025.03514557,180,1366,5.35395597858,"{""0"": 668, ""1"": 290, ""2"": 1366, ""3"": 408, ""4"": 180, ""5"": 450}",,23,-5341.80782739,-4980.71063986,True,0.945393440583,285,8.47709696609,9.99999999973e-07
GMM,6,21,6,0.102163571462,1.89317846055,1026.64865947,179,1366,5.3242117787,"{""0"": 448, ""1"": 1366, ""2"": 668, ""3"": 408, ""4"": 179, ""5"": 293}",,23,-5340.94950841,-4979.85232089,True,0.945059825155,288,8.56632956573,9.99999999973e-07
GMM,6,99,6,0.104230102767,1.87841097644,1033.32888225,174,1366,5.1754907793,"{""0"": 668, ""1"": 451, ""2"": 295, ""3"": 408, ""4"": 174, ""5"": 1366}",,21,-5337.26031321,-4976.16312568,True,0.944773998124,290,8.6258179655,9.99999999973e-07
GMM,6,123,6,0.102671971896,1.89343923076,1028.12234717,182,1366,5.41344437835,"{""0"": 408, ""1"": 1366, ""2"": 285, ""3"": 182, ""4"": 453, ""5"": 668}",,24,-5343.5160082,-4982.41882068,True,0.94518095875,286,8.50684116597,9.99999999973e-07
GMM,7,42,7,0.0855504067647,1.74530283029,1083.74572658,165,1201,4.90779298037,"{""0"": 165, ""1"": 460, ""2"": 1201, ""3"": 260, ""4"": 668, ""5"": 200, ""6"": 408}",,30,-5671.39867869,-5249.09857803,True,0.937727600338,296,8.80428316478,9.99999999973e-07
GMM,7,7,7,0.0867733609534,1.74201905678,1087.84539336,165,1201,4.90779298037,"{""0"": 668, ""1"": 203, ""2"": 1201, ""3"": 408, ""4"": 255, ""5"": 165, ""6"": 462}",,31,-5671.67624125,-5249.37614059,True,0.93768788983,297,8.83402736466,9.99999999973e-07
GMM,7,21,7,0.0846914235644,1.7453672243,1080.97592781,163,1203,4.84830458061,"{""0"": 668, ""1"": 260, ""2"": 200, ""3"": 163, ""4"": 460, ""5"": 408, ""6"": 1203}",,30,-5671.37212767,-5249.07202701,True,0.937767464997,297,8.83402736466,9.99999999973e-07
GMM,7,99,7,0.0842591618466,1.75048750427,1078.80718056,166,1200,4.93753718025,"{""0"": 408, ""1"": 456, ""2"": 196, ""3"": 166, ""4"": 268, ""5"": 1200, ""6"": 668}",,28,-5670.30940741,-5248.00930675,True,0.937905742701,296,8.80428316478,9.99999999973e-07
GMM,7,123,7,0.0855504067647,1.74530283029,1083.74572658,165,1201,4.90779298037,"{""0"": 1201, ""1"": 260, ""2"": 668, ""3"": 165, ""4"": 408, ""5"": 200, ""6"": 460}",,30,-5671.41369734,-5249.11359667,True,0.937748155907,296,8.80428316478,9.99999999973e-07
GMM,8,42,8,0.159702255279,1.95490894966,1265.38586637,95,772,2.8256989887,"{""0"": 772, ""1"": 95, ""2"": 213, ""3"": 594, ""4"": 408, ""5"": 366, ""6"": 668, ""7"": 246}",,21,-7830.19656452,-7346.69355072,True,0.919211394758,406,12.0761451517,9.99999999973e-07
GMM,8,7,8,0.0760901106346,1.67010095107,1058.10331834,108,1200,3.21237358715,"{""0"": 458, ""1"": 1200, ""2"": 560, ""3"": 108, ""4"": 408, ""5"": 248, ""6"": 166, ""7"": 214}",,34,-5738.53947494,-5255.03646114,True,0.924387000476,358,10.6484235574,9.99999999973e-07
GMM,8,21,8,0.0765021250756,1.97841970312,999.482812992,118,1200,3.50981558596,"{""0"": 118, ""1"": 246, ""2"": 166, ""3"": 1200, ""4"": 365, ""5"": 191, ""6"": 408, ""7"": 668}",,26,-8025.96386021,-7542.46084641,True,0.956015487352,212,6.30577037478,9.99999999973e-07
GMM,8,99,8,0.160968361717,2.01812453413,1185.08052579,57,688,1.69541939322,"{""0"": 677, ""1"": 362, ""2"": 668, ""3"": 688, ""4"": 286, ""5"": 406, ""6"": 218, ""7"": 57}",,24,-5658.35182261,-5174.84880881,True,0.90006329281,501,14.9018441404,9.99999999973e-07
GMM,8,123,8,0.0772249231296,1.96796345698,999.881562006,113,1200,3.36109458656,"{""0"": 194, ""1"": 246, ""2"": 166, ""3"": 113, ""4"": 668, ""5"": 367, ""6"": 408, ""7"": 1200}",,22,-8025.46213083,-7541.95911703,True,0.956154900776,214,6.36525877454,9.99999999973e-07
